ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,
41,simple,5420300520,Biela motor con casquillo aplicable a Mercedes Benz Actros/Axor ,1,0,visible,,"Biela motor con casquillo aplicable a Mercedes Benz Actros/Axor 
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: Diésel Technic.
\n
\nCódigo de referencia: 4.61903
\n
\nOtros datos: Aplica a motores OM 502 LA /O500 Diámetro int. D1   52 mm, Diámetro int.   D2    99 mm, Longitud 273 mm

\n
\n&nbsp;
\n
\n&nbsp;

",,,taxable,,backorder,13,,0,0,4.00,41,16,6,1,,," $  210,710.95 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor > Biela",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Actros/Axor,1,1,Marca,Diesel Technic,1,1,
34,simple,6011801401,Bomba de aceita aplicable a Mercedes Benz Sprinter,1,0,visible,,"Bomba de aceita aplicable a Mercedes Benz Sprinter
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: Motorline.
\n
\nCódigo de referencia: MBBAC 12000
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;

",,,taxable,,backorder,2,,0,0,1.45,32,33,14,1,,," $  110,593.06 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor > Bomba de Aceite",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Sprinter,1,1,Marca,Motorline,1,1,
62,simple,6110961699,Turbocompresor aplicable a Mercedes Benz Sprinter 313 CDI  OM 611,1,0,visible,,"Turbocompresor aplicable a Mercedes Benz Sprinter 313 CDI  OM 611
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Mahle
\
\nCódigo de referencia: TC0480330
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,6.70,26.5,26.5,21,1,,," $  544,085.73 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor > Turbocompresores",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Sprinter,1,1,Marca,MAHLE,1,1,
211,simple,6204137442,Juego soporte de cardan aplicable a Mercedes Benz L/LS1935,1,0,visible,,,,,taxable,,backorder,2,,0,0,8.55,26,21,6,1,,," $  154,404.32 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Cardan , Camiones Clásicos > Transmisión > Cardan > Abrazaderas, tornillos y soportes",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,L/LS1935,1,1,Marca,Suporte Rei,1,1,
44,simple,6344900565,Flexible escape aplicable a Mercedes Benz O-500,1,0,visible,,"Flexible escape aplicable a Mercedes Benz O-500
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: XXL
\n
\nCódigo de referencia: K1166
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,4,,0,0,1.35,18,12,12,1,,," $  161,174.70 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor, Escape > Flexibles",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,O-500,1,1,Marca,XXL,1,1,
79,simple,6882610118,Guía de directa aplicable a Mercedes Benz 710,1,0,visible,,"Guía de Directa aplicable a Mercedes Benz 710
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Engratécnica
\n
\nCódigo de referencia: 6882610118
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,2,,0,0,2.2,14,14,6,1,,," $  35,844.43 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Directas, guías y horquillas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,710,1,1,Marca,Universal,1,1,
253,simple,6884203020,"Jguego de pastillas de freno aplicable a Mercedes Benz 712, 914",1,0,visible,,,,,taxable,,backorder,1,,0,0,5.15,18,21,8,1,,," $  55,075.34 ","Camiones Clásicos , Camiones Clásicos > Suspensión y Dirección , Camiones Clásicos > Suspensión y Dirección , Eje delantero > Discos de freno",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,"712, 914",1,1,Marca,FRAS-LE,1,1,
135,simple,6922620202,Directa 17 dientes aplicable a caja Mercedes Benz 710 G-24,1,0,visible,,"Directa 17 dientes G-24 aplicable a Mercedes Benz 710
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Eaton
\n
\nCódigo de referencia: R04789
\n
\nOtros datos:
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,2.1,34,10,10,1,,," $  151,247.97 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Directas, guías y horquillas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,710 G-24,1,1,Marca,Moto Pecas,1,1,
68,simple,6932400517,Soporte motor delantero aplicable a Mercedes Benz L1620E ,1,0,visible,,"Soporte motor delantero aplicable a Mercedes Benz L1620E
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Suporte Rei
\
\nCódigo de referencia: R-3324
\n
\nOtros datos: También aplica a Mercedes Benz L1622, L1624, Atego 1718, 1723, 1725, 2623 6x4, 2425 6x4, Atron 2324, 2726B 6x4, Ómnibus O-500, OF 1730, Motor OM-906LA, OM-924LA
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,2,,0,0,4.70,30,21,17.5,1,,," $  145,465.07 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor, Soportes > Motor",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,L1620E ,1,1,Marca,Soporte Rei,1,1,
69,simple,6932420001,Soporte motor trasero izquierdo aplicable a Mercedes Benz 1938S,1,0,visible,,"Soporte motor trasero izquierdo aplicable a Mercedes Benz 1938S 
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Original
\
\nCódigo de referencia: 6932420001
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,12.45,20,20,16,1,,," $  308,933.95 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor, Soportes > Motor",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1938S,1,1,Marca,Original,1,1,
215,simple,6942620123,Desplazable de 3ª y 4ª aplicable a Mercedes Benz 1620,1,0,visible,,,,,taxable,,backorder,1,,0,0,0.7,21,21,3,1,,," $  187,231.72 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Desplazables",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1620,1,1,Marca,Cinpal,1,1,
